dataset,group,method,auroc,worst_auroc,accuracy,fpr,spearman
VidLLVIP independent,ours,Ours detection head,0.9976851851851852,0.9965534979423869,0.976010101010101,0.005555555555555556,0.840646972719234
VidLLVIP independent,ours,Ours severity head,0.9947916666666667,0.9900720164609054,0.9141414141414141,0.041666666666666664,0.9261985489136634
VidLLVIP independent,ours,Ours composite,0.9988425925925926,0.99809670781893,0.851010101010101,0.06388888888888888,0.9004209997546431
VidLLVIP independent,ablation,Source-conditioned residual,0.9976851851851852,0.9965534979423869,0.9722222222222222,0.044444444444444446,0.840646972719234
VidLLVIP independent,ablation,Span residual,0.9981352880658436,0.9970936213991769,0.9734848484848485,0.041666666666666664,0.8631369503913067
VidLLVIP independent,ablation,Static operator residual,0.9494212962962962,0.9242283950617284,0.7828282828282829,0.13055555555555556,0.8433368039358276
VidLLVIP independent,baseline,Global weight drift,0.8179526748971193,0.6490226337448559,0.6919191919191919,0.058333333333333334,0.7753438481830497
VidLLVIP independent,baseline,Source-normalized change,0.811792695473251,0.7712705761316871,0.7209595959595959,0.325,0.5781642764999941
VidLLVIP independent,baseline,Temporal difference,0.31075102880658434,0.2708333333333333,0.44823232323232326,0.013888888888888888,0.6540772908349637
VidLLVIP independent,baseline,Flow warp error,0.31075102880658434,0.2708333333333333,0.44823232323232326,0.013888888888888888,0.6540772908349637
VidLLVIP independent,baseline,TemCoCo-style flowD visible,0.31075102880658434,0.2708333333333333,0.44823232323232326,0.013888888888888888,0.6540772908349637
VidLLVIP independent,baseline,TemCoCo-style feaCD Sobel,0.6619470164609054,0.6431327160493827,0.46464646464646464,0.07777777777777778,0.35901774988142565
M3SVD 12-pair,ours,Ours detection head,0.9991126543209876,0.9986111111111111,0.9873737373737373,0.0,0.8055297318359314
M3SVD 12-pair,ours,Ours severity head,0.9925668724279835,0.986085390946502,0.9457070707070707,0.08333333333333333,0.8665739569458428
M3SVD 12-pair,ours,Ours composite,0.9826774691358025,0.9691358024691358,0.8964646464646465,0.16944444444444445,0.7872986535901316
M3SVD 12-pair,ablation,Source-conditioned residual,0.9991126543209876,0.9986111111111111,0.9772727272727273,0.041666666666666664,0.8055297318359314
M3SVD 12-pair,ablation,Span residual,0.9991769547325102,0.9984310699588477,0.9823232323232324,0.030555555555555555,0.8351925927522531
M3SVD 12-pair,ablation,Static operator residual,0.9310313786008231,0.9089763374485597,0.8042929292929293,0.18055555555555555,0.7247600778043348
M3SVD 12-pair,baseline,Global weight drift,0.8179398148148149,0.6381172839506174,0.7196969696969697,0.09444444444444444,0.7661535915263556
M3SVD 12-pair,baseline,Source-normalized change,0.8162937242798354,0.796141975308642,0.773989898989899,0.20555555555555555,0.5633702048087303
M3SVD 12-pair,baseline,Temporal difference,0.2909079218106996,0.25920781893004113,0.4053030303030303,0.10833333333333334,0.6900911421237974
M3SVD 12-pair,baseline,Flow warp error,0.2909079218106996,0.25920781893004113,0.4053030303030303,0.10833333333333334,0.6900911421237974
M3SVD 12-pair,baseline,TemCoCo-style flowD visible,0.2909079218106996,0.25920781893004113,0.4053030303030303,0.10833333333333334,0.6900911421237974
M3SVD 12-pair,baseline,TemCoCo-style feaCD Sobel,0.754591049382716,0.7526491769547325,0.5025252525252525,0.06666666666666667,0.5482025454484953
M3SVD 30-pair,ours,Ours detection head,0.9962905092592592,0.9950231481481481,0.9526515151515151,0.008333333333333333,0.8181412141903008
M3SVD 30-pair,ours,Ours severity head,0.9715069444444444,0.9456412037037036,0.9196969696969697,0.0825,0.8681744073260316
M3SVD 30-pair,ours,Ours composite,0.9907685185185184,0.9867199074074073,0.9443181818181818,0.030833333333333334,0.8532404304473247
M3SVD 30-pair,ablation,Source-conditioned residual,0.9962905092592593,0.9950231481481482,0.9534090909090909,0.0475,0.8181412141903008
M3SVD 30-pair,ablation,Span residual,0.9959328703703704,0.9949305555555555,0.9484848484848485,0.0575,0.8162181536827321
M3SVD 30-pair,ablation,Static operator residual,0.938318287037037,0.9181828703703704,0.8174242424242424,0.028333333333333332,0.7945063971130137
M3SVD 30-pair,baseline,Global weight drift,0.8250405092592593,0.6507337962962964,0.7382575757575758,0.1125,0.7390200498806458
M3SVD 30-pair,baseline,Source-normalized change,0.8086111111111111,0.7822962962962963,0.8386363636363636,0.0033333333333333335,0.5674843974030723
M3SVD 30-pair,baseline,Temporal difference,0.2963310185185185,0.26284953703703706,0.4390151515151515,0.034166666666666665,0.6540826361337637
M3SVD 30-pair,baseline,Flow warp error,0.2963310185185185,0.26284953703703706,0.4390151515151515,0.034166666666666665,0.6540826361337637
M3SVD 30-pair,baseline,TemCoCo-style flowD visible,0.2963310185185185,0.26284953703703706,0.4390151515151515,0.034166666666666665,0.6540826361337637
M3SVD 30-pair,baseline,TemCoCo-style feaCD Sobel,0.702130787037037,0.6795833333333334,0.47424242424242424,0.035833333333333335,0.5061280088311677
VidLLVIP independent,baseline,ResNet-18 feaCD visible-source probe,0.6681327160493827,0.6660236625514404,0.48737373737373735,0.15555555555555556,0.11461669684039687
VidLLVIP independent,baseline,SEA-RAFT flowD visible-source probe,0.30842335390946496,0.26800411522633744,0.4494949494949495,0.011111111111111112,0.6787340769870699
M3SVD 30-pair,baseline,SEA-RAFT flowD visible-source probe,0.2945671296296296,0.26058796296296294,0.4409090909090909,0.03,0.675458193314047
VidLLVIP independent,baseline,Entropy instability,0.38164866255144037,0.34683641975308643,0.4128787878787879,0.09166666666666666,0.6084248776866699
VidLLVIP independent,baseline,Standard-deviation instability,0.38398919753086425,0.346630658436214,0.3977272727272727,0.12777777777777777,0.5941538287319661
VidLLVIP independent,baseline,Spatial-frequency instability,0.38793724279835395,0.34969135802469137,0.41035353535353536,0.09722222222222222,0.573830659539927
VidLLVIP independent,baseline,Mutual-information instability,0.5198688271604939,0.37319958847736623,0.47853535353535354,0.030555555555555555,0.4849915118585502
VidLLVIP independent,baseline,Edge-correlation instability,0.42262088477366255,0.3949588477366255,0.45075757575757575,0.008333333333333333,0.27339145615320215
